appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1104930	2.334498543519506	4	74	Dots: Revamped!	Jul 31, 2019	1	1	1.0	0
1104470	2.3009554248658732	2	42	Super Hero League of Hoboken	Jul 3, 2019	0	0	0.0	0
1115630	2.299028054868029	6	80	Magnetic Daydream	Jul 2019	0	0	0.0	0
1102040	2.26961992177461	2	30	Obversion	Coming Soon	0	0	0.0	0
1108310	2.247223645194574	2	42	The Demon - Nicolas Eymerich Inquisitor Audiogame	FALL 2019	0	0	0.0	0
1100030	2.247223645194574	2	42	<U+4F0A><U+52E2><U+5FD7><U+6469><U+30DF><U+30B9><U+30C6><U+30EA><U+30FC><U+6848><U+5185> <U+507D><U+308A><U+306E><U+9ED2><U+771F><U+73E0>	Coming Soon	0	0	0.0	0
1103390	2.2399669195618768	3	60	ThreeStep	Oct 18, 2019	0	0	0.0	0
1103250	2.2288266726927275	3	62	FORT	Jul 15, 2019	1	1	1.0	0
1104010	2.1929999153477095	2	26	Save the Biros VR	Jul 4, 2019	0	0	0.0	0
1108630	2.1196239820633824	2	42	Gythol Granditti: The Crypt of Darkness	Jul 8, 2019	2	2	1.0	0
1109080	2.064845356980998	4	83	Prison Ball: Full Blown	Jul 12, 2019	0	0	0.0	0
1113960	2.026105930303212	3	62	Pictures of Life	Jul 25, 2019	0	0	0.0	0
1115660	2.0222189297494397	2	40	Apollo 11 VR HD: First Steps	Jul 25, 2019	0	0	0.0	0
1120050	2.0076882244288794	2	41	Hyacinthus	Jul 27, 2019	0	0	0.0	0
1119930	2.000207375902721	3	63	Away From Earth: Titan 2	Jul 24, 2019	0	0	0.0	0
1118730	2.000207375902721	3	60	Super Lee World	Aug 2019	0	0	0.0	0
1116520	2.000207375902721	3	63	The Backrooms	Aug 2019	0	0	0.0	0
1114230	2.000207375902721	3	60	Gear Puzzle: the inheritance of grandpa(<U+9F7F><U+8F6E><U+8FF7><U+5C40>)	Aug 5, 2019	0	0	0.0	0
1112950	2.000207375902721	3	63	Japocaliptyca/ <U+042F><U+043F><U+043E><U+043A><U+0430><U+043B><U+0438><U+043F><U+0442><U+0438><U+043A><U+0430>	Jul 2019	0	0	0.0	0
1104250	1.9878760371609598	3	54	Poly Mole	Jul 12, 2019	2	2	1.0	0
1101840	1.9644820815479709	3	62	WBTR - Welcome Back To Reality	Jul 31, 2019	0	0	0.0	0
1106530	1.9495989978475112	4	65	GemCraft - Frostborn Wrath	2019	0	0	0.0	0
1106670	1.9101429064640054	4	75	Diastone: Confusion	Jul 12, 2019	3	8	0.375	0
